CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG43404010;PRECIPITATION;2013;88.2360364;30.6205527;72.4104887;48.2051867;16.43626035;50.815959;2.1847453;3.4258685;0.7137138;2.763291;0;4.7621037;33.55191;0;0;0;0;0;0;0;0.04597978;0;0;0;0.02538751;0;0.10508955;0;0;0;0.04324902;1.18015464;0;0;0;2.2693374;0.1787894;4.03682055;13.55857;8.6734281;13.8667251;15.55211033;18.2779425;4.5064181;86.42298586;56.3890848;13.5228666;164.030109;45.26910786;125.132231;45.914782;57.12702047
MDG43404031;PRECIPITATION;2013;88.2360364;30.6205527;72.4104887;48.2051867;16.43626035;50.815959;2.1847453;3.4258685;0.7137138;2.763291;0;4.7621037;33.55191;0;0;0;0;0;0;0;0.04597978;0;0;0;0.02538751;0;0.10508955;0;0;0;0.04324902;1.18015464;0;0;0;2.2693374;0.1787894;4.03682055;13.55857;8.6734281;13.8667251;15.55211033;18.2779425;4.5064181;86.42298586;56.3890848;13.5228666;164.030109;45.26910786;125.132231;45.914782;57.12702047
MDG43404032;PRECIPITATION;2013;88.2360364;30.6205527;72.4104887;48.2051867;16.43626035;50.815959;2.1847453;3.4258685;0.7137138;2.763291;0;4.7621037;33.55191;0;0;0;0;0;0;0;0.04597978;0;0;0;0.02538751;0;0.10508955;0;0;0;0.04324902;1.18015464;0;0;0;2.2693374;0.1787894;4.03682055;13.55857;8.6734281;13.8667251;15.55211033;18.2779425;4.5064181;86.42298586;56.3890848;13.5228666;164.030109;45.26910786;125.132231;45.914782;57.12702047
MDG43404050;PRECIPITATION;2013;58.21241155;66.45215551;75.69491826;45.4527763;37.20460978;72.4421406;2.905699;4.12081;3.630006;1.636437;0;33.311684;17.31716;0;0;0;0.07560252;0.10461437;0;0;0.3622027;0.08998291;0;0;0;0;0.685867;0;0;0;0.35853215;5.5601141;0;0;0.05812545;7.4930254;0.13987362;2.51065142;8.174885;5.16738452;65.6295661;75.10763008;17.3225538;21.3001608;58.260114;103.696535;20.026967;137.07467;66.53609;100.3025099;43.10376456;62.810974
MDG43404070;PRECIPITATION;2013;58.21241155;66.45215551;75.69491826;45.4527763;37.20460978;72.4421406;2.905699;4.12081;3.630006;1.636437;0;33.311684;17.31716;0;0;0;0.07560252;0.10461437;0;0;0.3622027;0.08998291;0;0;0;0;0.685867;0;0;0;0.35853215;5.5601141;0;0;0.05812545;7.4930254;0.13987362;2.51065142;8.174885;5.16738452;65.6295661;75.10763008;17.3225538;21.3001608;58.260114;103.696535;20.026967;137.07467;66.53609;100.3025099;43.10376456;62.810974
MDG43404091;PRECIPITATION;2013;42.0403995;85.458265;75.27868675;44.3804764;47.7534453;79.6405158;3.2591221;4.249719;7.4393056;1.008211;0;46.206973;14.77653291;0.1070597;0.66903028;0.30914334;0.1174019;0.9583667;0.5104047;0.03148377;2.1211188;1.59682942;1.70231579;0.92841554;1.29049413;0.4639677;1.76031474;2.2290249;0.47078007;0.07108842;1.2048661;7.61892233;3.75807021;0.9137681;1.2195897;11.9801363;2.22410526;5.1676452;6.020903;7.7827892;94.2259262;101.2234103;20.2454768;29.7443174;44.756277;128.347561;24.0351342;128.925417;73.879366;85.4701514;44.63305802;64.35684049
MDG43404092;PRECIPITATION;2013;58.21241155;66.45215551;75.69491826;45.4527763;37.20460978;72.4421406;2.905699;4.12081;3.630006;1.636437;0;33.311684;17.31716;0;0;0;0.07560252;0.10461437;0;0;0.3622027;0.08998291;0;0;0;0;0.685867;0;0;0;0.35853215;5.5601141;0;0;0.05812545;7.4930254;0.13987362;2.51065142;8.174885;5.16738452;65.6295661;75.10763008;17.3225538;21.3001608;58.260114;103.696535;20.026967;137.07467;66.53609;100.3025099;43.10376456;62.810974
MDG43404111;PRECIPITATION;2013;88.2360364;30.6205527;72.4104887;48.2051867;16.43626035;50.815959;2.1847453;3.4258685;0.7137138;2.763291;0;4.7621037;33.55191;0;0;0;0;0;0;0;0.04597978;0;0;0;0.02538751;0;0.10508955;0;0;0;0.04324902;1.18015464;0;0;0;2.2693374;0.1787894;4.03682055;13.55857;8.6734281;13.8667251;15.55211033;18.2779425;4.5064181;86.42298586;56.3890848;13.5228666;164.030109;45.26910786;125.132231;45.914782;57.12702047
MDG43404112;PRECIPITATION;2013;88.2360364;30.6205527;72.4104887;48.2051867;16.43626035;50.815959;2.1847453;3.4258685;0.7137138;2.763291;0;4.7621037;33.55191;0;0;0;0;0;0;0;0.04597978;0;0;0;0.02538751;0;0.10508955;0;0;0;0.04324902;1.18015464;0;0;0;2.2693374;0.1787894;4.03682055;13.55857;8.6734281;13.8667251;15.55211033;18.2779425;4.5064181;86.42298586;56.3890848;13.5228666;164.030109;45.26910786;125.132231;45.914782;57.12702047
MDG43404131;PRECIPITATION;2013;77.3881386;41.629164;77.4527674;47.0063759;20.174575;51.212891;2.512276;3.3054059;2.33193662;2.468311;0;8.7710618;27.61852367;0.02599143;0.10866653;0.0608671;0;0.2161493;0.07378389;0;0.38143158;0.2422364;0.35514786;0.1912654;0.42844051;0.1804972;0.35290353;0.3752577;0.13574694;0;0.23260996;2.4676213;0.88710981;0.6167455;0.2867382;4.0342381;0.74912337;4.56899258;12.11799127;8.9590075;27.2613299;21.8603676;17.89975913;7.35585825;79.9014943;62.0958595;14.43603246;168.134698;51.661195;112.6714825;44.95752512;59.52013462
MDG43404132;PRECIPITATION;2013;77.3881386;41.629164;77.4527674;47.0063759;20.174575;51.212891;2.512276;3.3054059;2.33193662;2.468311;0;8.7710618;27.61852367;0.02599143;0.10866653;0.0608671;0;0.2161493;0.07378389;0;0.38143158;0.2422364;0.35514786;0.1912654;0.42844051;0.1804972;0.35290353;0.3752577;0.13574694;0;0.23260996;2.4676213;0.88710981;0.6167455;0.2867382;4.0342381;0.74912337;4.56899258;12.11799127;8.9590075;27.2613299;21.8603676;17.89975913;7.35585825;79.9014943;62.0958595;14.43603246;168.134698;51.661195;112.6714825;44.95752512;59.52013462
MDG43404150;PRECIPITATION;2013;70.46448846;46.9850752;69.6444667;45.0113938;25.72657439;59.7392306;2.4070272;3.6520328;2.194535;2.125251;0;18.9977934;22.29201038;0;0;0;0.04234615;0;0;0;0.1958727;0.02305727;0;0;0;0;0.4809534;0;0;0;0.19063632;3.64213301;0;0;0;5.0948905;0.15720228;3.1622797;10.6981;6.84739457;41.4057799;49.04403193;17.91371464;13.77494834;70.87372064;85.415374;17.24322465;146.805013;56.719663;113.1020494;44.28814057;59.67197
