CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG54508010;PRECIPITATION;2013;0.1076384;0.9211775;0;0;2.9574449;8.3633475;0;0;0;0;0;0;74.859135;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06227095;0.18573971;0;0;0.10602384;2.4029938;1.45125891;1.2079137;0.3015073;3.77513999;1.410229;1.425694;0.1186337;2.87280816;36.8942271;5.81402524;6.735727;18.2276143;82.76492;74.4449145;64.6297177;36.084897;100.984239;61.8125365;8.548854;9.9066034
MDG54508059;PRECIPITATION;2013;0.55432299;1.54310613;0.48599129;0.35713936;6.0022408;17.69342424;0.03762069;0.06718457;0.4999826;0.15075698;0.17554338;0.36255544;74.42400266;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25926717;0.53379458;0;0;0.20102134;3.8155645;2.21437991;1.5996988;0.4655223;6.71813022;2.539412;0.9637223;0.03329397;5.3386066;56.20749;10.18237403;12.12077;31.2669791;59.8881264;79.833011;66.4575347;40.830369;94.169279;70.0840945;7.385439;9.38626209
MDG54508079;PRECIPITATION;2013;0.55432299;1.54310613;0.48599129;0.35713936;6.0022408;17.69342424;0.03762069;0.06718457;0.4999826;0.15075698;0.17554338;0.36255544;74.42400266;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25926717;0.53379458;0;0;0.20102134;3.8155645;2.21437991;1.5996988;0.4655223;6.71813022;2.539412;0.9637223;0.03329397;5.3386066;56.20749;10.18237403;12.12077;31.2669791;59.8881264;79.833011;66.4575347;40.830369;94.169279;70.0840945;7.385439;9.38626209
MDG54508159;PRECIPITATION;2013;0.26009067;1.30541;0.06400242;0.6725673;4.8899655;22.4985518;0.1912903;0.27560848;0.31315373;0;0;0.04355883;73.763469;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06160722;0.28844004;0;0;0.21502239;1.4909617;0.86374217;0.9220627;0.20113508;1.1720401;0.3656227;2.069182;0.1898168;0.7190841;19.3024199;5.35651324;1.764696;6.55945352;107.192434;71.8914842;78.233045;36.970394;84.673009;35.634517;9.5556153;9.8755176
MDG54508179;PRECIPITATION;2013;0.26009067;1.30541;0.06400242;0.6725673;4.8899655;22.4985518;0.1912903;0.27560848;0.31315373;0;0;0.04355883;73.763469;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06160722;0.28844004;0;0;0.21502239;1.4909617;0.86374217;0.9220627;0.20113508;1.1720401;0.3656227;2.069182;0.1898168;0.7190841;19.3024199;5.35651324;1.764696;6.55945352;107.192434;71.8914842;78.233045;36.970394;84.673009;35.634517;9.5556153;9.8755176
MDG54508010;PRECIPITATION;2014;10.04220385;0;0;0;0;6.0876045;0;0;0;0;4.98864;0;0;0;7.979796;0;0.997066;0;2.0967252;0;0;0;0;0.2003827;0;0;0;0;0;0;0;0;2.993015;0;0;0;0.1356837;0.1221828;0.15101616;0.04220777;0;0;4.939702;36.446447;42.06126769;51.52001968;7.98033326;3.97462592;40.5717341;37.870752;322.8776198;58.12892378
MDG54508059;PRECIPITATION;2014;10.30095141;0.74479233;0.23239593;0.31044769;0;6.4344804;0.37906017;0.39762311;0.1521087;0;4.960186;0;0;0.0279038;7.904621;0;0.9897168;0;2.0984633;0;0;0;0;0.238879;0;0;0;0;0;0;0;0;2.976161;0.0439571;0;0.02045311;0.1327712;0.1216925;0.34029732;0.03268227;0.5808075;0;4.895831;36.51227749;41.75174224;51.13588545;8.36080468;4.71293477;40.9374937;37.76346724;319.8899855;58.34061972
MDG54508079;PRECIPITATION;2014;10.30095141;0.74479233;0.23239593;0.31044769;0;6.4344804;0.37906017;0.39762311;0.1521087;0;4.960186;0;0;0.0279038;7.904621;0;0.9897168;0;2.0984633;0;0;0;0;0.238879;0;0;0;0;0;0;0;0;2.976161;0.0439571;0;0.02045311;0.1327712;0.1216925;0.34029732;0.03268227;0.5808075;0;4.895831;36.51227749;41.75174224;51.13588545;8.36080468;4.71293477;40.9374937;37.76346724;319.8899855;58.34061972
MDG54508159;PRECIPITATION;2014;10.3616356;0.44541401;0.3853281;0.1955571;0;6.2936098;0.08710738;0;0;0;5.042849;0;0;0.34568697;7.824514;0;0.9778838;0;2.3542091;0;0;0;0.3093983;0.194961;0;0;0;0;0;0;0;0;2.978785;0.1476852;0;0.06350745;0;0;0.13008447;0;0;0.11154142;4.153182;30.99854543;38.610951;45.785882;7.04796245;6.0449075;47.2723285;37.86874537;317.4655381;60.4100587
MDG54508179;PRECIPITATION;2014;10.3616356;0.44541401;0.3853281;0.1955571;0;6.2936098;0.08710738;0;0;0;5.042849;0;0;0.34568697;7.824514;0;0.9778838;0;2.3542091;0;0;0;0.3093983;0.194961;0;0;0;0;0;0;0;0;2.978785;0.1476852;0;0.06350745;0;0;0.13008447;0;0;0.11154142;4.153182;30.99854543;38.610951;45.785882;7.04796245;6.0449075;47.2723285;37.86874537;317.4655381;60.4100587
MDG54508010;PRECIPITATION;2015;11.98005;33.87954;0;0;0;0;0;0;13.00955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03571322;0;0;14.1700755;86.26864;13.34172589;17.9370287;30.08950727;64.11774;34.122078;36.91347;73.13603287;206.7955261;280.3544544
MDG54508059;PRECIPITATION;2015;12.35081042;34.18003012;0.14077721;0.286984;0.02772676;0.15021532;0;0.06593991;13.21750527;0;0.04354505;0;0;0;0;0.0428566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.232667;0.02260304;0;0;0;0.07205278;0.0287606;0.48480972;14.65584039;86.67554953;13.9355094;18.3863765;30.22738023;64.3380909;34.27830719;36.89217469;73.56827356;204.6678245;277.4300149
MDG54508079;PRECIPITATION;2015;12.35081042;34.18003012;0.14077721;0.286984;0.02772676;0.15021532;0;0.06593991;13.21750527;0;0.04354505;0;0;0;0;0.0428566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.232667;0.02260304;0;0;0;0.07205278;0.0287606;0.48480972;14.65584039;86.67554953;13.9355094;18.3863765;30.22738023;64.3380909;34.27830719;36.89217469;73.56827356;204.6678245;277.4300149
