CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG43404010;LST_NIGHT;2013;23.63;20.58;21.54;20.11;20.95;25.81;23.89;24.72714286;25.24714286;24.61285714;24.07571429;24.69285714;22.91;23.23;22.03;22.33;22.53;19.93;19.89571429;19.68142857;18.91;18.57;17.16428571;17.48714286;17.74428571;18.07;18.30428571;18.09857143;19.35;16.61;21.08428571;20.60142857;22.03;23.35857143;23.65571429;24.54428571;23.19;24.17;24.05;23.43;23.19;23.05;23.61;24.53285714;21.67;22.55;21.09;23.19;23.51;24.25;24.25;23.91
MDG43404031;LST_NIGHT;2013;23.71;20.09;20.09;20.49;20.19;26.23;23.95;24.49857143;24.99571429;24.42142857;23.85;24.20142857;21.51;22.23;21.87;22.33857143;22.36714286;22.23;20.29;20.29;18.64;20.71;19.15;18.41857143;17.84142857;18.07285714;18.33;17.70142857;20.53;16.97;21.44428571;19.84714286;20.83;22.82714286;23.73571429;24.05857143;23.51;22.53;23.79857143;22.75285714;22.25;23.97;24.00428571;23.65571429;21.05;22.16;22.17;24.13;23.39;24.61;24.61;23.67
MDG43404010;LST_NIGHT;2014;23.61;23.51;23.39;23.65285714;24.24714286;23.87;22.59;25.14428571;23.84142857;23.69857143;23.60428571;23.28428571;24.09857143;23.67;20.63;20.92142857;20.24142857;21.34428571;21.11285714;19.52428571;19.68714286;18.95;18.85;18.07;18.37;18.85571429;19.13857143;19.33857143;19.17571429;15.37;19.35;21.80142857;21.96714286;22.95571429;23.68428571;23.71857143;23.89571429;22.73;22.63;22.63;23.42;24.41;24.13571429;23.83857143;24.01;23.15;22.07;22.35;22.52;23.11;23.51;23.42
MDG43404031;LST_NIGHT;2014;23.53;23.45;23.97;23.43857143;22.39571429;24.11;22.75;25.04714286;23.98714286;23.68428571;24.06142857;24.29;23.98428571;22.15;21.11;21.43571429;20.57571429;21.44428571;21.53;20.63857143;20.61857143;17.07;18.35;18.39;18.70428571;19.89285714;20.63857143;20.51285714;20.46142857;21.01;21.01;21.93571429;21.26142857;22.43857143;23.27;23.27571429;24.04714286;22.59;22.13;5.912857143;3.21;23.27;23.11571429;22.91;22.15;22.48;22.51;22.03;25.47;23.37857143;22.98714286;23.71
MDG43404010;LST_NIGHT;2015;25.46;24.08;25.97;25.98714286;25.95857143;25.79857143;25.61;21.99;23.34428571;23.32714286;23.84714286;24.01857143;23.33285714;22.70142857;23.37;22.73;20.38142857;20.47571429;20.20142857;19.01857143;18.45857143;19.65;18.57;19.25;20.24428571;18.83857143;19.14714286;19.57571429;20.27285714;22.55571429;20.31;22.41;23.43857143;23.62428571;23.74428571;23.85571429;23.54142857;22.89285714;24.23;24.71;24.12714286;22.40142857;21.75;22.51;22.67;22.99;21.51;21.08;21.77857143;22.56714286;23.09857143;23.61
MDG43404031;LST_NIGHT;2015;23.84;23.98;24.05;24.05;25.29;25.32142857;25.51;22.37;23.62142857;24.55857143;24.49571429;23.49285714;22.48714286;22.52142857;23.07;22.23;21.01285714;21.03857143;21.14142857;19.76142857;18.91;20.77;16.93;20.31;20.29285714;20.29;21.91;21.04428571;20.47285714;21.69285714;20.27;22.69;23.51285714;23.73571429;23.64428571;23.42142857;22.90142857;22.38428571;24.51;24.29;24.01571429;18.08428571;15.73;22.45;24.10714286;24.27;22.77285714;24.57;23.59;22.91;23.42;23.53
MDG43404010;LST_NIGHT;2016;25.37;23.32;23.55;23.73;23.73;23.05;23.39285714;23.98142857;22.37;24.31;22.57857143;23.57571429;22.68428571;21.97285714;22.19571429;21.49285714;20.79;20.68;20.15;19.97;20.45;19.32;19.15;19.24;20.34;19.22;19.08;19.37;20.61;22.43;21.78;22.91;23.15;20.93;24.30714286;24.87;23.43;23.23285714;22.97;23.16;23.51;25.17;26.73;24.09;22.93;23.15;23.15;23.61;23.15;23.06;23.15;23.44
MDG43404031;LST_NIGHT;2016;25.27;22.14;23.05;23.77;23.77;25.13;24.64428571;23.33285714;22.75;24.31;23.40142857;23.45;22.42142857;22.02714286;22.40428571;21.83285714;21.49;22.14;21.51;20.28;20.49;20.37;19.73;20.15;20.64;19.98;20.63;20.99;21.49;21.99;20.37;22.46;23.11;21.79;20.74428571;20.57;23.55;22.94142857;22.13;22.16;22.55;24.75;26.15571429;23.59;22.47;24.31;24.31;23.79;23.51;22.55;23.34;23.97
MDG43404010;LST_NIGHT;2017;22.45;20.66;22.21;25.03;22.11;23.49;23.89;24.72714286;25.24714286;24.61285714;24.07571429;24.69285714;22.91;23.23;22.03;22.33;22.53;19.93;19.89571429;19.68142857;18.91;18.57;17.16428571;17.48714286;17.74428571;18.07;18.30428571;18.09857143;19.35;16.61;21.08428571;20.60142857;22.03;23.35857143;23.65571429;24.54428571;23.19;24.17;24.05;25.77;25.77;23.05;23.61;24.53285714;22.31;22.31;23.06;23.55;24.79;24.79;24.25;23.52
MDG43404031;LST_NIGHT;2017;20.51;20.09;20.09;22.44;22.16;26.23;23.95;24.49857143;24.99571429;24.42142857;23.85;24.20142857;21.51;22.23;21.87;22.33857143;22.36714286;22.23;20.29;20.29;20.24;20.71;19.15;18.41857143;17.84142857;18.07285714;18.33;17.70142857;20.53;16.97;21.44428571;19.84714286;20.83;22.82714286;23.73571429;24.05857143;23.51;22.53;23.79857143;25.41;23.25;17.85;24.00428571;24.45;22.44428571;23.86714286;24.57;25.58;25.19;25.19;24.61;23.53498753
