CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG43404010;LST_NIGHT;2013;23.63;20.58;21.54;20.11;20.95;25.81;23.89;24.72714286;25.24714286;24.61285714;24.07571429;24.69285714;22.91;23.23;22.03;22.33;22.53;19.93;19.89571429;19.68142857;18.91;18.57;17.16428571;17.48714286;17.74428571;18.07;18.30428571;18.09857143;19.35;16.61;21.08428571;20.60142857;22.03;23.35857143;23.65571429;24.54428571;23.19;24.17;24.05;23.43;23.19;23.05;23.61;24.53285714;21.67;22.55;21.09;23.19;23.51;24.25;24.25;23.91
MDG43404031;LST_NIGHT;2013;23.71;20.09;20.09;20.49;20.19;26.23;23.95;24.49857143;24.99571429;24.42142857;23.85;24.20142857;21.51;22.23;21.87;22.33857143;22.36714286;22.23;20.29;20.29;18.64;20.71;19.15;18.41857143;17.84142857;18.07285714;18.33;17.70142857;20.53;16.97;21.44428571;19.84714286;20.83;22.82714286;23.73571429;24.05857143;23.51;22.53;23.79857143;22.75285714;22.25;23.97;24.00428571;23.65571429;21.05;22.16;22.17;24.13;23.39;24.61;24.61;23.67
MDG43404032;LST_NIGHT;2013;20.25;20.25;22.57;21.67;22.08;24.61;23.47;24.87;25.05285714;24.34142857;23.94142857;23.88142857;20.95;23.07;21.99;22.43857143;22.69;18.95;19.03571429;19.16142857;18.63;18.95;17.57857143;17.17857143;17.11;17.70142857;18.46714286;18.63285714;19.97;16.97;21.15285714;21.19285714;21.93571429;22.75;23.53285714;25.09285714;23.91;24.55;24.07;23.76142857;23.67;24.25;24.42714286;24.59;22.91;23.17;21.94;23.51;23.53;23.69285714;23.91;23.05
MDG43404050;LST_NIGHT;2013;22.39;22.39;21.49;21.68;21.67;26.33;23.93;24.50142857;24.38714286;24.22428571;24.64714286;24.53285714;21.79;22.93;21.23285714;21.89285714;21.79;20.77857143;19.50428571;18.42428571;18.03;17.67;17.55;17.51571429;17.39571429;17.95285714;18.67857143;18.47;19.19;16.85;20.46714286;20.49857143;22.20142857;23.47857143;23.37;23.76714286;24.35;25.59;24.47571429;23.40428571;23.05;23.15;23.81285714;25.13857143;23.15;22.08;22.36;23.08;23.48;23.17;22.07;24.37
MDG43404070;LST_NIGHT;2013;20.64714286;19.79;20.84;20.19;21.06;24.97;23.23857143;24.25;24.08428571;23.85285714;24.03571429;23.22142857;21.25;22.47;21.40714286;21.15857143;20.79857143;20.08714286;19.64142857;20.07;18.91;19.15;17.57285714;17.76714286;17.89285714;17.85857143;17.69857143;17.47571429;18.71;16.23;19.53857143;20.09;21.91;21.79857143;22.09571429;23.18142857;23.01;23.47;23.28142857;22.05;21.57;23.37;23.47857143;23.15857143;19.61;20.91;21.64;22.64;23.02;23.45;19.87285714;10.93
MDG43404091;LST_NIGHT;2013;19.19857143;18.59;21.36;19.59;19.59;24.13;21.05;19.95;19.46428571;19.53285714;19.56714286;18.78428571;15.63;18.93;17.76428571;17.71285714;17.59857143;16.87857143;16.39285714;16.91;15.47;15.13;13.82714286;15.46714286;15.83285714;16.17571429;16.41;15.13285714;16.47;15.39;18.03;18.31285714;18.70714286;19.21285714;19.81285714;20.75571429;20.67;18.51;20.27571429;19.98428571;19.75;20.79;20.96142857;21.22428571;20.23;20.49;20.61;20.61;20.35;20.95;20.95;21.61
MDG43404092;LST_NIGHT;2013;22.33;22.33;22.65;20.91;20.91;25.07;21.75;24.16428571;24.77571429;24.51;24.29285714;23.45571429;21.69;21.89;21.56428571;22.13857143;20.73285714;19.34428571;19.48714286;20.33;16.38;19.17;18.50142857;18.59;18.28142857;18.43571429;18.85285714;18.56142857;19.47;18.05;20.75857143;18.65285714;20.33857143;22.42142857;22.66142857;23.18714286;23.77;22.83;23.25857143;22.87285714;22.69;23.43;23.56142857;23.51285714;21.25;22.64;22.05;22.35;23.61;24.47;24.47;23.07
MDG43404111;LST_NIGHT;2013;18.75;18.75;22.15;22.19;22.19;25.81;24.01;23.89571429;23.39857143;23.09857143;22.90428571;21.38714286;17.77;21.59;18.45285714;18.83;20.95;20.43571429;17.91571429;17.52142857;16.27;16.13;16.78142857;16.50428571;16.52142857;17.02714286;17.13571429;16.44428571;18.21;16.21;20.10142857;20.37857143;20.43571429;21.49;23.37;24.63285714;22.01;23.55;23.97857143;23.50714286;23.29;24.43;24.63;24.67285714;21.93;22.84;22.38;22.94;23.69;23.38142857;22.97;23.09
MDG43404112;LST_NIGHT;2013;22.68;22.45;21.16;20.25;20.25;25.13;22.41;23.79571429;24.04142857;22.93571429;22.46714286;23.15857143;16.85;22.51;16.91;16.91;13.83;15.20142857;16.95571429;16.74428571;16.59;16.25;15.95857143;15.95285714;16.22142857;16.78714286;17.12428571;16.87285714;17.85;16.11;20.10428571;19.65571429;19.58714286;20.85571429;22.87857143;24.45285714;23.27;23.41;23.90714286;23.43285714;23.21;24.29;24.46714286;24.60428571;22.77;21.19;22.16;22.13;23.43;23.46428571;23.51;23.21
MDG43404131;LST_NIGHT;2013;23.13;23.13;22.58;17.59;17.59;24.31;25.19;25.47571429;25.32714286;25.25857143;25.30428571;24.52714286;21.75;23.05;21.91857143;21.57285714;21.60142857;20.41;19.30714286;20.48428571;18.89;18.73;19.10714286;18.59857143;17.84428571;18.05857143;18.48142857;17.76428571;19.29;17.73;21.58714286;21.17285714;22.22428571;23.18428571;23.46428571;24.50142857;23.61;24.27;24.33857143;20.96428571;19.61;24.91;24.97857143;24.71571429;22.11;22.43;21.38;22.51;23.93;24.25571429;24.69;23.06
