CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG54508010;LST_NIGHT;2013;25.37;24.69285714;23.33857143;23.33285714;24.07;23.87;23.47571429;23.19571429;23.25857143;22.98428571;22.68142857;23.05857143;22.15;21.83;21.64142857;20.72428571;18.31285714;16.95857143;17.05;16.65;25.51;16.07;15.36714286;14.62142857;14.01571429;14.71;16.02428571;15.93571429;14.89;15.87;16.65857143;16.79;21.63;20.58428571;20.15571429;22.79857143;24.17;23.09;23.74142857;24.35;24.26428571;24.04142857;24.17285714;23.96428571;20.57;21.98;21.93;21.93;24.53;24.89;25.25;24.95
MDG54508059;LST_NIGHT;2013;22.52428571;20.86142857;18.93;19.60142857;21.23;21.37;19.93;22.27571429;23.31;19.27;18.21285714;15.57;23.58;16.51;18.13857143;16.68142857;15.69285714;15.28142857;14.59571429;13.57571429;13.97;13.61;13.18142857;13.08142857;11.45857143;10.97857143;12.37285714;13.52714286;14.11;12.13;13.24428571;15.25857143;15.99;14.37;15.02714286;17.40428571;21.81;22.33;19.51857143;21.17857143;22.03;21.65;22.01;21.57;13.53;22.68;19.69;19.69;22.13;21.70142857;21.62142857;22.85
MDG54508079;LST_NIGHT;2013;24.75571429;23.36714286;20.89857143;21.48142857;22.75;23.01;19.70142857;22.73571429;22.04428571;20.43285714;20.83857143;22.17;23.73;17.47;18.25857143;15.93285714;15.43;15.90142857;15.33571429;13.61571429;14.01;13.69;13.60428571;13.34714286;11.52428571;10.86428571;12.15;13.33;13.81;11.79;13.40142857;15.35571429;16.52142857;14.58428571;12.80714286;16.81857143;21.43;21.53;21.53;22.75;20.54428571;20.63;23.10428571;22.21571429;14.57;21.19;21.59;21.59;22.71;23.40428571;24.19857143;23.87
MDG54508159;LST_NIGHT;2013;24.38142857;23.24142857;21.75;22.45;22.45;23.23;22.81857143;23.49285714;22.37285714;21.53285714;22.07;22.56714286;21.95;19.35;20.48142857;19.12714286;17.01285714;16.80714286;17.54428571;16.24142857;15.71;16.93;15.01;14.77571429;13.51857143;12.99571429;14.05285714;15.21;15.21;13.81;14.53;17.65;18.50714286;17.75285714;17.96428571;20.36428571;21.65;22.19;21.71;21.73;20.23857143;20.46142857;22.53571429;22.33285714;17.43;20.37;21.87;21.87;20.85;22.84714286;25.04714286;23.89
MDG54508179;LST_NIGHT;2013;23.18142857;21.83571429;20.08142857;20.62714286;18.33;21.43;18.48142857;20.36142857;21.31;18.81;19.24428571;19.67571429;15.75;18.69;18.93;17.62714286;16.08428571;15.51857143;15.23857143;13.79285714;13.09;14.83;13.66428571;13.74142857;12.11285714;11.14428571;11.95571429;13.00428571;13.81;13.79;13.92714286;14.72142857;16.35571429;16.81;16.49;18.11857143;21.89;21.87;17.96142857;20.85285714;22.27;20.59;21.36142857;23.29;19.35;20.88;19.19;19.19;22.15;23.16142857;24.38428571;24.07
MDG54508010;LST_NIGHT;2014;25.77857143;24.63571429;23.27285714;22.40428571;22.81857143;23.59;23.89;20.51285714;20.92142857;21.81285714;21.78714286;21.26142857;21.52142857;22.91;22.31;21.45285714;19.29571429;17.22142857;17.52142857;18.54428571;16.99285714;17.37;16.22;14.79;14.21857143;15.29285714;16.02142857;15.68428571;16.22428571;19.55;19.33;17.99285714;18.89857143;21.43;23.20428571;23.54714286;23.47;22.15;24.73;24.40428571;24.70714286;24.23285714;24.33571429;24.62714286;23.55571429;24.07;26.01;26.01;24.71;24.71;24.52;24.97
MDG54508059;LST_NIGHT;2014;22.98714286;23.49;17.21;17.23857143;17.74428571;20.35;18.63;17.08714286;17.33;17.69;17.64714286;16.79571429;15.21;19.58;19.43;17.42428571;15.76142857;14.04142857;13.91285714;15.06142857;15.25285714;14.43;14.55;13.33285714;12.97285714;12.97857143;13.06428571;13.01285714;13.11571429;15.19;15.25;14.89;12.35857143;14.61571429;16.58714286;15.97;17.89;17.89;23.15;21.88142857;22.88428571;23.54142857;23.44714286;22.85857143;22.13;23.51;23.47;23.47;23.51;22.25;22.66;22.65
MDG54508079;LST_NIGHT;2014;24.81285714;24.92142857;22.53857143;19.85285714;21.05285714;21.91;22.09;22.93;19.07;18.16714286;17.41285714;15.82428571;16.11;19.51;19.91;18.16142857;16.87;14.89285714;14.26714286;15.35857143;16.02714286;14.81;14.15;14.01285714;13.21857143;13.15;13.62142857;13.69571429;13.43285714;16.57;15.31;15.17285714;13.15;15.00142857;15.90142857;14.45;20.16;22.51;22.91;21.86428571;22.86142857;23.68428571;23.81285714;22.93285714;21.38428571;22.55;22.87;22.87;22.89;22.89;22.58;23.99
MDG54508159;LST_NIGHT;2014;23.03;23.33857143;22.57571429;21.21;22.03;21.55;22.75;20.29857143;18.61857143;19.88142857;19.95857143;18.30714286;18.81857143;21.63;19.97;18.78714286;17.63285714;15.90142857;16.11571429;17.51;16.80714286;16.19;17.09;15.78714286;14.85571429;14.84428571;15.65857143;15.79;14.59;17.59;16.69;17.25571429;15.06428571;18.32142857;20.78142857;20.53571429;22.02428571;21.27;22.17;23.38714286;23.70428571;23.71571429;23.40714286;22.96714286;22.76142857;22.47;23.65;23.65;23.49;23.49;23.58;24.13
MDG54508179;LST_NIGHT;2014;20.17857143;21.24142857;19.33857143;15.75;18.54428571;19.71;17.57;18.03285714;17.78142857;17.62714286;17.47285714;16.94714286;16.23285714;17.09;19.15;17.24714286;16.53;14.69;13.89285714;14.68142857;15.19285714;15.69;16.43;14.47571429;13.30714286;13.45;13.70714286;13.79857143;14.61;16.05;15.23;14.57857143;13.82714286;16.15285714;17.27571429;17.38428571;20.03571429;18.03;21.21;22.78714286;22.69285714;21.37285714;20.90142857;21.28428571;21.09857143;22.47;22.67;22.67;22.43;22.43;22.68;22.85
MDG54508010;LST_NIGHT;2015;24.55;24.02;23.45;23.39857143;23.31857143;23.33;23.57;18.83;21.86428571;23.12714286;22.61857143;22.28428571;22.46714286;21.81285714;20.63;18.45;20.25;19.77857143;18.53285714;16.87857143;15.34142857;14.91285714;16.37;16.99;15.36142857;15.49;16.78142857;16.74714286;15.57;19.65;19.99;20.33;20.55285714;20.14714286;21.62714286;23.21285714;23.69285714;23.69857143;23.39;23.89;24.42142857;24.88142857;25.03;23.65;23.47;24.24;24.19;23.19;23.70428571;23.79;23.66;26.55
MDG54508059;LST_NIGHT;2015;22.03;22.58;16.43;18.22142857;21.46142857;23.18428571;20.75;15.21;15.21;16.07;19.48714286;21.33857143;19.47571429;17.04142857;16.15;16.05;17.98714286;15.43857143;13.70714286;13.09857143;12.84714286;12.97857143;14.11;14.11;13.51;13.36714286;14.16142857;14.12714286;13.80714286;15.19857143;15.49;17.23;16.15;17.45571429;18.08428571;19.56714286;21.92714286;22.53857143;19.95;21.71;22.08714286;22.25;22.29;21.77;21.77;22.08;22.65;22.31;21.72714286;21.63;21.94;21.73
